"","ChEMBL ID","Name","Synonyms","Type","Max Phase","Molecular Weight","Targets"
"45","CHEMBL152377",NA,NA,"Small molecule",0,298.34,4
"46","CHEMBL1965404",NA,NA,"Small molecule",0,388.42,50
"47","CHEMBL225754","CYCLOEUCALENONE","Cycloeucalenone","Small molecule",0,424.71,3
"48","CHEMBL488748","MONOMARGINE","Monomargine","Small molecule",0,248.24,3
"49","CHEMBL465663","MELITERNATIN","Meliternatin","Small molecule",0,370.31,59
"50","CHEMBL24171","BERGAPTEN","5-METHOXYPSORALEN|BERGAPTAN|BERGAPTEN|BERGAPTENE|Bergapten|GERALEN|HERACLIN|MAJUDIN|METHOXSALEN RELATED COMPOUND A|NSC-95437","Small molecule",4,216.19,119
"51","CHEMBL1689806","CLAUSINE K","Clausine K","Small molecule",0,271.27,7
"52","CHEMBL1974890","CEDROL","Cedrol","Small molecule",0,222.37,73
"53","CHEMBL3808919",NA,NA,"Small molecule",0,422.48,10
"54","CHEMBL1984754",NA,NA,"Small molecule",0,458.73,54
"55","CHEMBL363535","TANSHINONE I","Tanshinone I","Small molecule",0,276.29,70
"56","CHEMBL505789","HORDENINE","Hordenine","Small molecule",0,165.24,7
"57","CHEMBL269277","BETULINIC ACID",".BETA.-BETULINIC ACID|ALS-357|BETULIC ACID|BETULINIC ACID|LUPATIC ACID|MAIRIN|NSC-113090|NSC-677578","Small molecule",1,456.71,245
"58","CHEMBL1998453",NA,NA,"Small molecule",0,358.39,57
"59","CHEMBL51628","UMBELLIFERONE","NSC-019790","Small molecule",0,162.14,171
"60","CHEMBL237111","AKBA","3-ACETYL-11-KETO-BETA-BOSWELLIC ACID|AKBA","Small molecule",0,512.73,34
"61","CHEMBL87333","CIS-RESVERATROL","(Z)-Resveratrol|Cis-Resveratrol","Small molecule",0,228.25,54
"62","CHEMBL488748","MONOMARGINE","Monomargine","Small molecule",0,248.24,3
"63","CHEMBL505789","HORDENINE","Hordenine","Small molecule",0,165.24,7
"64","CHEMBL278779","KOKUSAGININE","Kokusaginine","Small molecule",0,259.26,27
"65","CHEMBL457605","TAZETTINE","(+)-Tazettine","Small molecule",0,331.37,21
"66","CHEMBL522983",NA,"NSC-19803","Small molecule",0,464.38,56
"67","CHEMBL501322","CAPSICASTRINE","Capsicastrine","Small molecule",0,577.8,1
"68","CHEMBL1778417","PRUNASIN","Prunasin","Small molecule",0,295.29,2
"69","CHEMBL74923",NA,NA,"Small molecule",0,420.37,56
"70","CHEMBL689","MANNITOL","ARIDOL KIT|Alexitol sodium|BRONCHITOL|CORDYCEPIC ACID|CRYSTALLINE MANNITOL EXTRA-FINE|CRYSTALLINE MANNITOL FINE|CRYSTALLINE MANNITOL STANDARD|D-(-)-MANNITOL|D-MANNITOL|Diosmol|E-421|E421|INS NO.421|INS-421|ISOMALT IMPURITY, MANNITOL-|MANNA SUGAR|MANNITE|MANNITOL|MANNITOL 200|MANNITOL 2080|MANNITOL 25|MANNITOL 300|MANNITOL 35|MANNITOL 60|MANNITOL M300|MANNITOL, D-|MANNITOLUM|MANNOGEM 2080|Mannite|Mannitol|NSC-407017|Osmitrol|PEARLITOL 160 C|PEARLITOL 200 SD|PEARLITOL 25 C|PEARLITOL 300 DC|PEARLITOL 50 C|Resectisol","Small molecule",4,182.17,149
"71","CHEMBL451518",NA,"NSC-324637","Small molecule",0,222.2,9
"72","CHEMBL596222",NA,NA,"Small molecule",0,220.18,4
"73","CHEMBL487606","BARRINGTOGENOL C","Barringtogenol C","Small molecule",0,490.73,8
"74","CHEMBL269277","BETULINIC ACID",".BETA.-BETULINIC ACID|ALS-357|BETULIC ACID|BETULINIC ACID|LUPATIC ACID|MAIRIN|NSC-113090|NSC-677578","Small molecule",1,456.71,245
"75","CHEMBL2103763",NA,NA,"Small molecule",0,418.4,2
"76","CHEMBL233930","ASTRAGALIN","Astragalin|Kaempferol 3-O-Glucoside","Small molecule",0,448.38,66
"77","CHEMBL460139","NOTOAMIDE J","Notoamide J","Small molecule",0,383.45,1
"78","CHEMBL289191","LUPEOL","Clerodol|Fagarasterol|Farganasterol|Lupeol|Monogynol B","Small molecule",0,426.73,149
"79","CHEMBL469432",NA,NA,"Small molecule",0,222.2,13
"80","CHEMBL259667",NA,NA,"Small molecule",0,370.45,1
"81","CHEMBL289191","LUPEOL","Clerodol|Fagarasterol|Farganasterol|Lupeol|Monogynol B","Small molecule",0,426.73,149
"82","CHEMBL124518","PHORBOL","Phorbol","Small molecule",0,364.44,12
"83","CHEMBL1782233",NA,"18-Demethylgardfloramine","Small molecule",0,382.42,5
"84","CHEMBL23236","BETULIN","Betulin","Small molecule",0,442.73,154
"85","CHEMBL296800",NA,NA,"Small molecule",0,284.27,15
"86","CHEMBL1641904",NA,NA,"Small molecule",0,358.39,6
"87","CHEMBL3594353",NA,NA,"Small molecule",0,638.88,8
"88","CHEMBL204860","MATRINE","Matrine","Small molecule",0,248.37,65
"89","CHEMBL239077","TOMENTIC ACID","Tomentic Acid|Tormentic Acid","Small molecule",0,488.71,22
"90","CHEMBL21396","SKIMMIANINE","Skimmianine","Small molecule",0,259.26,43
"91","CHEMBL108861","METHYLEUGENOL","Methyl Eugenol|Methyleugenol","Small molecule",0,178.23,52
"92","CHEMBL224481","CABRALEONE","Cabraleone","Small molecule",0,458.73,11
"93","CHEMBL168","OLEANOLIC_ACID","NSC-114945","Small molecule",0,456.71,197
"94","CHEMBL485998","FRIEDELINE","Friedelin|Friedeline","Small molecule",0,426.73,25
"95","CHEMBL87333","CIS-RESVERATROL","(Z)-Resveratrol|Cis-Resveratrol","Small molecule",0,228.25,54
"96","CHEMBL503938","EUPARIN","Euparin","Small molecule",0,216.24,28
"97","CHEMBL24171","BERGAPTEN","5-METHOXYPSORALEN|BERGAPTAN|BERGAPTEN|BERGAPTENE|Bergapten|GERALEN|HERACLIN|MAJUDIN|METHOXSALEN RELATED COMPOUND A|NSC-95437","Small molecule",4,216.19,119
"98","CHEMBL508781",NA,"(+)-Aromoline","Small molecule",0,594.71,68
"99","CHEMBL498737","XYLOPINIC ACID","Xylopinic Acid","Small molecule",0,374.48,2
"100","CHEMBL689","MANNITOL","ARIDOL KIT|Alexitol sodium|BRONCHITOL|CORDYCEPIC ACID|CRYSTALLINE MANNITOL EXTRA-FINE|CRYSTALLINE MANNITOL FINE|CRYSTALLINE MANNITOL STANDARD|D-(-)-MANNITOL|D-MANNITOL|Diosmol|E-421|E421|INS NO.421|INS-421|ISOMALT IMPURITY, MANNITOL-|MANNA SUGAR|MANNITE|MANNITOL|MANNITOL 200|MANNITOL 2080|MANNITOL 25|MANNITOL 300|MANNITOL 35|MANNITOL 60|MANNITOL M300|MANNITOL, D-|MANNITOLUM|MANNOGEM 2080|Mannite|Mannitol|NSC-407017|Osmitrol|PEARLITOL 160 C|PEARLITOL 200 SD|PEARLITOL 25 C|PEARLITOL 300 DC|PEARLITOL 50 C|Resectisol","Small molecule",4,182.17,149
"101","CHEMBL516995","CRASSOCOLIDE D","Crassocolide D","Small molecule",0,334.46,4
"102","CHEMBL1224369",NA,NA,"Small molecule",0,326.3,2
"103","CHEMBL1209536","CORYTERNATINE C","Coryternatine C","Small molecule",0,371.39,4
"104","CHEMBL2425666",NA,NA,"Small molecule",0,432.51,5
"105","CHEMBL241608","CALYCOSIN","Calycosin","Small molecule",0,284.27,34
"106","CHEMBL1923744","CRASSOCOLIDE N","Crassocolide N","Small molecule",0,330.42,3
"107","CHEMBL522604","ONOPORDOPICRIN","Onopordopicrin","Small molecule",0,348.4,7
"108","CHEMBL226507","SINENSETIN","Sinensetin","Small molecule",0,372.37,36
"109","CHEMBL462050","YUNNACORONARIN A",NA,"Small molecule",0,300.44,8
"110","CHEMBL504757","ISOTETRANDRINE","(R,S)-TETRANDRINE|1-ISOTETRANDRINE|ISOSINOMENIN A|ISOSINOMENINE A|ISOTETRANDRINE|NSC-97338|O,O'-DIMETHYLOBAMEGINE|O,O'-DIMETHYLSTEPHOLINE|O-METHYLBERBAMINE","Small molecule",0,622.76,67
"111","CHEMBL449980",NA,"(-)-Curicycleatjenine","Small molecule",0,634.73,3
"112","CHEMBL479880",NA,"N-Butylbenzenesulfonamide","Small molecule",0,213.3,1
"113","CHEMBL428955","NONACOSANE","Nonacosane","Small molecule",0,408.8,1
"114","CHEMBL253038",NA,"(3S)-Vestitone","Small molecule",0,286.28,5
"115","CHEMBL63970","DESOXYPODOPHYLLOTOXIN","(-)-Deoxypodophyllotoxin|4-Deoxypodophyllotoxin|Beta-Apopicropodophyllin|Deoxypodophyllotoxin|Desoxypodophyllotoxin","Small molecule",0,398.41,102
"116","CHEMBL3799137",NA,NA,"Small molecule",0,286.46,4
"117","CHEMBL312862","DEMECOLCINE","C-12669|COLCHAMINE|DEACETYL-N-METHYLCOLCHICINE|DEMECOLCINE|NSC-3096|SUBSTANCE F","Small molecule",0,371.43,34
"118","CHEMBL508651","AVICIN D","avicin D","Small molecule",0,2083.28,1
"119","CHEMBL24171","BERGAPTEN","5-METHOXYPSORALEN|BERGAPTAN|BERGAPTEN|BERGAPTENE|Bergapten|GERALEN|HERACLIN|MAJUDIN|METHOXSALEN RELATED COMPOUND A|NSC-95437","Small molecule",4,216.19,119
"120","CHEMBL21396","SKIMMIANINE","Skimmianine","Small molecule",0,259.26,43
"121","CHEMBL1230782",NA,"L-Alpha-Aminobutyric Acid","Small molecule",0,103.12,2
"122","CHEMBL2002847",NA,NA,"Small molecule",0,341.41,55
"123","CHEMBL317221",NA,NA,"Small molecule",0,270.28,6
"124","CHEMBL239077","TOMENTIC ACID","Tomentic Acid|Tormentic Acid","Small molecule",0,488.71,22
"125","CHEMBL233930","ASTRAGALIN","Astragalin|Kaempferol 3-O-Glucoside","Small molecule",0,448.38,66
"126","CHEMBL1182694",NA,NA,"Small molecule",0,333.34,2
"127","CHEMBL1773904","GALACTITOL","Galactitol","Small molecule",0,182.17,7
"128","CHEMBL1773607","PEDUNCULOSUMOSIDE F","Pedunculosumoside F","Small molecule",0,640.55,2
"129","CHEMBL113029",NA,NA,"Small molecule",0,258.27,8
"130","CHEMBL458457",NA,"17-Epi-Holacurtine","Small molecule",0,491.71,3
"131","CHEMBL1940084",NA,"(+)-tuberiferin","Small molecule",0,246.31,5
"132","CHEMBL1940084",NA,"(+)-tuberiferin","Small molecule",0,246.31,5
"133","CHEMBL254051","GARBANZOL","Garbanzol","Small molecule",0,272.26,6
"134","CHEMBL1093742",NA,"9-Hydroxyoctadecanoic Acid","Small molecule",0,300.48,1
"135","CHEMBL491989","OXYAYANIN A",NA,"Small molecule",0,360.32,1
"136","CHEMBL242273","SAFROLE","SAFROLE|Safrole|Shikimol","Small molecule",0,162.19,140
"137","CHEMBL451518",NA,"NSC-324637","Small molecule",0,222.2,9
"138","CHEMBL519331",NA,"NSC-76988","Small molecule",0,286.24,3
"139","CHEMBL521354","BRYOPHYLLIN A",NA,"Small molecule",0,472.53,5
"140","CHEMBL486393","LUPENONE","Lupenone|Lupeone","Small molecule",0,424.71,38
"141","CHEMBL1182694",NA,NA,"Small molecule",0,333.34,2
"142","CHEMBL252913",NA,"(3S)-Vestitol","Small molecule",0,272.3,8
"143","CHEMBL388342","BOLDINE","(+)-Boldine|(S)-(+)-Boldine|Boldine","Small molecule",0,327.38,37
"144","CHEMBL24171","BERGAPTEN","5-METHOXYPSORALEN|BERGAPTAN|BERGAPTEN|BERGAPTENE|Bergapten|GERALEN|HERACLIN|MAJUDIN|METHOXSALEN RELATED COMPOUND A|NSC-95437","Small molecule",4,216.19,119
"145","CHEMBL3609097",NA,NA,"Small molecule",0,652.56,1
"146","CHEMBL21396","SKIMMIANINE","Skimmianine","Small molecule",0,259.26,43
"147","CHEMBL518704",NA,NA,"Small molecule",0,524.56,3
"148","CHEMBL462886",NA,"Blumiolide-A","Small molecule",0,332.44,2
"149","CHEMBL267099","TUBERCIDIN","Tubercidin","Small molecule",0,266.26,81
"150","CHEMBL509319",NA,NA,"Small molecule",0,190.2,11
"151","CHEMBL117","CHRYSIN","NSC-407436","Small molecule",0,254.24,245
"152","CHEMBL522983",NA,"NSC-19803","Small molecule",0,464.38,56
"153","CHEMBL108862","CHAVICOL","4-Allyl-Phenol","Small molecule",0,134.18,4
"154","CHEMBL594886","PRENYLETIN 6-METHYL ETHER",NA,"Small molecule",0,260.29,3
"155","CHEMBL108861","METHYLEUGENOL","Methyl Eugenol|Methyleugenol","Small molecule",0,178.23,52
"156","CHEMBL242273","SAFROLE","SAFROLE|Safrole|Shikimol","Small molecule",0,162.19,140
"157","CHEMBL458846","RUBRAXANTHONE","Rubraxanthone","Small molecule",0,410.47,14
"158","CHEMBL486599",NA,NA,"Small molecule",0,258.23,3
"159","CHEMBL289191","LUPEOL","Clerodol|Fagarasterol|Farganasterol|Lupeol|Monogynol B","Small molecule",0,426.73,149
"160","CHEMBL513957","ACROVESTONE","Acrovestone","Small molecule",0,554.68,9
"161","CHEMBL233930","ASTRAGALIN","Astragalin|Kaempferol 3-O-Glucoside","Small molecule",0,448.38,66
"162","CHEMBL1097683",NA,"Hydroxy-3,7-Dimethoxyflavone","Small molecule",0,298.29,9
"163","CHEMBL1784743","TRIGOHOWNIN A","Trigohownin A","Small molecule",0,734.8,1
"164","CHEMBL452751","PHELLOPTERIN","Phellopterin","Small molecule",0,300.31,32
"165","CHEMBL75978","5-DEMETHYLNOBILETIN","5-demethyl nobiletin|5-demethylnobiletin","Small molecule",0,388.37,70
"166","CHEMBL24171","BERGAPTEN","5-METHOXYPSORALEN|BERGAPTAN|BERGAPTEN|BERGAPTENE|Bergapten|GERALEN|HERACLIN|MAJUDIN|METHOXSALEN RELATED COMPOUND A|NSC-95437","Small molecule",4,216.19,119
"167","CHEMBL3589108",NA,NA,"Small molecule",0,552.49,2
"168","CHEMBL2304288",NA,NA,"Small molecule",0,880.05,2
"169","CHEMBL1971693",NA,NA,"Small molecule",0,365.39,55
"170","CHEMBL1773906","COMOSUSOL B","Comosusol B","Small molecule",0,262.35,5
"171","CHEMBL464360","EMODIN 8-O-BETA-D-GLUCOPYRANOSIDE","Emodin 8-glucoside","Small molecule",0,432.38,5
"172","CHEMBL1098427","HIPPURISTANOL","Hippuristanol","Small molecule",0,462.67,15
"173","CHEMBL251254","HYPEROSIDE","Hyperoside","Small molecule",0,464.38,65
"174","CHEMBL428955","NONACOSANE","Nonacosane","Small molecule",0,408.8,1
"175","CHEMBL464889",NA,NA,"Small molecule",0,364.35,5
"176","CHEMBL223942","FURANOCEMBRANOID 2","Furanocembranoid 2","Small molecule",0,318.46,3
"177","CHEMBL515252",NA,"13,Ii8-Biapigenin|3,8'-Biapigenin","Small molecule",0,538.46,37
"178","CHEMBL507971",NA,"8(12)-Drimene","Small molecule",0,206.37,5
"179","CHEMBL511557","BUCHAPINE","Buchapine","Small molecule",0,297.4,4
"180","CHEMBL460031","GENIPOSIDIC ACID","Geniposidic Acid","Small molecule",0,374.34,12
"181","CHEMBL495858","KADSUPHILINS B",NA,"Small molecule",0,402.44,3
"182","CHEMBL286796","ETHYL FERULATE","Ethyl Ferulate","Small molecule",0,222.24,25
"183","CHEMBL466334","XANTHOGALENOL","xanthogalenol","Small molecule",0,354.4,2
"184","CHEMBL484652","ISONAAMIDINE E","Isonaamidine E","Small molecule",0,463.49,10
"185","CHEMBL2448591",NA,NA,"Small molecule",0,428.75,55
"186","CHEMBL39025",NA,NA,"Small molecule",0,608.73,6
"187","CHEMBL1922244",NA,NA,"Small molecule",0,263.25,13
"188","CHEMBL108862","CHAVICOL","4-Allyl-Phenol","Small molecule",0,134.18,4
"189","CHEMBL469717",NA,"Ar-Curcumene","Small molecule",0,202.34,5
"190","CHEMBL238845",NA,"(-)-Medicarpin","Small molecule",0,270.28,73
"191","CHEMBL490355","SULFURETIN","Sulfuretin","Small molecule",0,270.24,97
"192","CHEMBL1689801","7-HYDROXYHEPTAPHYLLINE","7-Hydroxyheptaphylline","Small molecule",0,295.34,7
"193","CHEMBL1092320","ANGELOYLGOMISIN H","Angeloylgomisin H","Small molecule",0,500.59,4
"194","CHEMBL12193",NA,"Piperidin-2-one","Small molecule",0,99.13,65
"195","CHEMBL225634","CYCLOEUCALENOL","Cycloeucalenol","Small molecule",0,426.73,3
"196","CHEMBL1987496",NA,NA,"Small molecule",0,244.21,56
"197","CHEMBL518633","NOTOAMIDE I","Notoamide I","Small molecule",0,445.52,1
"198","CHEMBL485998","FRIEDELINE","Friedelin|Friedeline","Small molecule",0,426.73,25
"199","CHEMBL446253",NA,"Methyl Carbazole-3-Carboxylate","Small molecule",0,225.25,12
"200","CHEMBL594886","PRENYLETIN 6-METHYL ETHER",NA,"Small molecule",0,260.29,3
"201","CHEMBL2003515",NA,NA,"Small molecule",0,314.29,60
"202","CHEMBL485998","FRIEDELINE","Friedelin|Friedeline","Small molecule",0,426.73,25
"203","CHEMBL465221","FERRUGICADINOL","Ferrugicadinol","Small molecule",0,506.82,1
"204","CHEMBL374130","BONANNIONE A",NA,"Small molecule",0,408.49,29
"205","CHEMBL455041","ALPHA-PHELLANDRENE","Alpha-Phellandrene","Small molecule",0,136.24,4
"206","CHEMBL462729","BUCERACIDIN A",NA,"Small molecule",0,368.39,8
"207","CHEMBL3103101",NA,NA,"Small molecule",0,302.41,2
"208","CHEMBL464877","DESACYLCYNAROPICRIN","Desacylcynaropicrin","Small molecule",0,262.3,8
"209","CHEMBL469945",NA,NA,"Small molecule",0,568.69,12
"210","CHEMBL504757","ISOTETRANDRINE","(R,S)-TETRANDRINE|1-ISOTETRANDRINE|ISOSINOMENIN A|ISOSINOMENINE A|ISOTETRANDRINE|NSC-97338|O,O'-DIMETHYLOBAMEGINE|O,O'-DIMETHYLSTEPHOLINE|O-METHYLBERBAMINE","Small molecule",0,622.76,67
"211","CHEMBL459815","GEROQUINOL","GERANYLHYDROQUINONE|GEROQUINOL","Small molecule",0,246.35,17
"212","CHEMBL416","METHOXSALEN","8-METHOXSALEN|8-METHOXYPSORALEN|8-MOP|DELTASORALEN|MELADININE|METHOXSALEN|METOXALEN|Methoxsalen|NSC-45923|OXSORALEN-ULTRA|OXYPSORALEN|Oxsoralen|PUVALEN|PUVASORALEN-8|SM-88 COMPONENT METHOXSALEN|UVADEX|VITPSO|XANTHOTOXIN","Small molecule",4,216.19,250
"213","CHEMBL502089",NA,"Isogarcinol 13-O-Methyl Ether","Small molecule",0,616.84,4
"214","CHEMBL269277","BETULINIC ACID",".BETA.-BETULINIC ACID|ALS-357|BETULIC ACID|BETULINIC ACID|LUPATIC ACID|MAIRIN|NSC-113090|NSC-677578","Small molecule",1,456.71,245
"215","CHEMBL452483","GUTTIFERONE A","Guttiferone A|Guttiferone-A","Small molecule",0,602.81,32
"216","CHEMBL22533","DICTAMNINE","4-Methoxyfuro[2,3-B]Quinoline|Dictamine|Dictamnine","Small molecule",0,199.21,19
"217","CHEMBL1782126","RAMONANIN B","Ramonanin B","Small molecule",0,680.75,1
"218","CHEMBL256448",NA,"(+)-1R-Cocluaurine|(R)-(+)-Coclaurine","Small molecule",0,285.34,5
"219","CHEMBL522983",NA,"NSC-19803","Small molecule",0,464.38,56
"220","CHEMBL520637",NA,NA,"Small molecule",0,434.35,2
"221","CHEMBL557930","TUBIFEROLIDE METHYL ESTER","Tubiferolide Methyl Ester|Turbiferolide Methyl Ester","Small molecule",0,482.71,5
"222","CHEMBL185","FLUOROURACIL","5 FU|5-FLUORURACIL|5-FU|5-Fluorouracil|5.F.U.|ACCUSITE|ACTIKERALL|Adrucil|Carac|EFUDIX|Efudex|FLUORO-URACIL ROCHE|FLUOROURACIL|FLUOROURACILUM|FLUOROURICIL|FLURACIL|Fluoroplex|NSC-19893|PHTHORURACIL|QUEROPLEX|RO 2-9757|RO-2-9757|RO-29757|TOLAK","Small molecule",4,130.08,485
"223","CHEMBL2386523",NA,NA,"Small molecule",0,286.42,3
"224","CHEMBL463711",NA,NA,"Small molecule",0,272.3,6
"225","CHEMBL269277","BETULINIC ACID",".BETA.-BETULINIC ACID|ALS-357|BETULIC ACID|BETULINIC ACID|LUPATIC ACID|MAIRIN|NSC-113090|NSC-677578","Small molecule",1,456.71,245
"226","CHEMBL1985317",NA,NA,"Small molecule",0,202.25,58
"227","CHEMBL486261","LUZONOSIDE C","luzonoside C","Small molecule",0,536.53,1
"228","CHEMBL480882","SIMALIKALACTONE D","NSC-266494|Simalikalactone D","Small molecule",0,478.54,25
"229","CHEMBL227128","DIHYDROISOTANSHINONE II","dihydroisotanshinone ii","Small molecule",0,278.31,3
"230","CHEMBL594886","PRENYLETIN 6-METHYL ETHER",NA,"Small molecule",0,260.29,3
"231","CHEMBL3103570",NA,NA,"Small molecule",0,672.83,5
"232","CHEMBL416","METHOXSALEN","8-METHOXSALEN|8-METHOXYPSORALEN|8-MOP|DELTASORALEN|MELADININE|METHOXSALEN|METOXALEN|Methoxsalen|NSC-45923|OXSORALEN-ULTRA|OXYPSORALEN|Oxsoralen|PUVALEN|PUVASORALEN-8|SM-88 COMPONENT METHOXSALEN|UVADEX|VITPSO|XANTHOTOXIN","Small molecule",4,216.19,250
"233","CHEMBL251251","Rubiadin",NA,"Small molecule",0,254.24,6
"234","CHEMBL3104849",NA,NA,"Small molecule",0,622.84,4
"235","CHEMBL2252749","6-ALPHA-HYDROXYDEMETHYL-CRYPTOJAPONOL",NA,"Small molecule",0,332.44,7
"236","CHEMBL1077964","POLYANTHININ","Polyanthinin","Small molecule",0,438.56,6
"237","CHEMBL2087220",NA,NA,"Small molecule",0,304.34,4
"238","CHEMBL1215463","MONASCIN","Monascin","Small molecule",0,358.43,5
"239","CHEMBL312073","NEVADENSIN",NA,"Small molecule",0,344.32,6
"240","CHEMBL464648",NA,NA,"Small molecule",0,424.71,9
"241","CHEMBL464750","SANDWICENSIN","Sandwicensin","Small molecule",0,338.4,2
"242","CHEMBL510090","LYSICAMINE","Lysicamine|Oxonuciferine","Small molecule",0,291.31,22
"243","CHEMBL230589",NA,NA,"Small molecule",0,230.26,2
"244","CHEMBL3264622",NA,NA,"Small molecule",0,302.33,1
"245","CHEMBL117","CHRYSIN","NSC-407436","Small molecule",0,254.24,245
"246","CHEMBL428955","NONACOSANE","Nonacosane","Small molecule",0,408.8,1
"247","CHEMBL608410","PINOBAKSIN","(2R,3R)-Pinobanksin|Pinobaksin","Small molecule",0,272.26,8
"248","CHEMBL2047211","GUMMOSOSIDE A METHYL ESTER","gummososide A methyl ester","Small molecule",0,971.14,1
"249","CHEMBL461985",NA,NA,"Small molecule",0,192.21,12
"250","CHEMBL376338",NA,NA,"Small molecule",0,440.71,5
"251","CHEMBL1778160","ISOPICROPODOPHYLLONE","Isopicropodophyllone","Small molecule",0,412.39,2
"252","CHEMBL93355","KOPSININE","Kopsinine","Small molecule",0,338.45,1
"253","CHEMBL2374350",NA,NA,"Small molecule",0,328.36,54
"254","CHEMBL488748","MONOMARGINE","Monomargine","Small molecule",0,248.24,3
"255","CHEMBL522181","POLYPODINE B",NA,"Small molecule",0,496.64,3
"256","CHEMBL485998","FRIEDELINE","Friedelin|Friedeline","Small molecule",0,426.73,25
"257","CHEMBL481642","TRICHOTHECOLONE","Trichothecolone","Small molecule",0,264.32,4
"258","CHEMBL257490","HENTRIACONTANE","Hentriacontane|N-Hentriacontane","Small molecule",0,436.85,2
"259","CHEMBL241609","OROBOL","Orobol","Small molecule",0,286.24,11
"260","CHEMBL225111","LANOSTEROL","Lanostereol","Small molecule",0,426.73,18
"261","CHEMBL490212","VERNOFLEXUOSIDE","Vernoflexuoside","Small molecule",0,408.45,1
"262","CHEMBL137803","ISOALANTOLACTONE","Iso-Alantolacton|Isoalantolactone","Small molecule",0,232.32,26
